label,text
ham,"Hi team, the meeting is confirmed for tomorrow at 10 AM."
ham,"Your library book is due next Monday."
ham,"Can you send me the project notes when you have time?"
ham,"Dinner is ready. Please come downstairs."
ham,"The package you ordered has been delivered to reception."
ham,"Reminder: dentist appointment on Friday at 3 PM."
ham,"Thanks for your help with the report."
ham,"Your monthly bank statement is now available in the secure app."
ham,"Let's reschedule our call to Wednesday afternoon."
ham,"Happy birthday! Hope you have a great day."
ham,"The train will arrive at platform four in five minutes."
ham,"Please review the attached draft before our meeting."
ham,"Your verification code is 481923. Do not share it with anyone."
ham,"The class assignment has been moved to next week."
ham,"Could you pick up some milk on your way home?"
ham,"Your requested password reset was completed successfully."
ham,"The invoice for your recent purchase is attached."
ham,"I will be working from home today."
ham,"The weather looks clear for the weekend hike."
ham,"Thanks for registering. We look forward to seeing you."
spam,"Congratulations! You have won a $1,000 gift card. Claim now!"
spam,"URGENT: Your account has been selected for a cash prize. Click here immediately."
spam,"You are a lucky winner! Send your bank details to receive your reward."
spam,"Exclusive offer: buy cheap medicines online with no prescription."
spam,"Earn $5,000 per week from home. No experience required."
spam,"FREE vacation for selected customers. Call now to claim your ticket."
spam,"Limited time deal! Get 90% off luxury watches today only."
spam,"Your loan is approved. Pay a small processing fee to release the money."
spam,"Winner notification: reply with your phone number and address."
spam,"Act now to receive free cash. This opportunity expires tonight."
spam,"You have been pre-approved for a credit card with instant approval."
spam,"Click this link to unlock your bonus reward and cash payment."
spam,"Special promotion: cryptocurrency investment doubles your money fast."
spam,"Final warning! Your mailbox will be closed unless you verify immediately."
spam,"Claim your free coupon by visiting the link below right now."
spam,"You have inherited money from an unknown donor. Contact our agent."
spam,"Get rich quickly with our secret trading system. Join today."
spam,"Congratulations, your number was chosen in our international lottery."
spam,"Work from home and make easy money using this simple method."
spam,"Security alert: confirm your password and account information now."
